Codigo;Município;Area;Densidade;Distancia;RendaperCapita;Gini;Intensidadedapobreza;IDH;Populacaototal
500025;Alcinópolis (MS);4413,7;0,8;255,2450116;192,47;0,53;42,67;0,745;3679
290080;Alcobaça (BA);1510,9;14,9;510,6783779;116,63;0,57;51,21;0,637;20900
210030;Aldeias Altas (MA);1951,2;9,6;250,7240654;57,13;0,54;59,26;0,549;18827
430030;Alecrim (RS);320,1;26,5;433,7103056;150,55;0,51;47,17;0,743;8487
320020;Alegre (ES);778,6;40,7;133,8161597;216,98;0,58;38,31;0,739;31714
430040;Alegrete (RS);7808,8;10,8;440,2679353;270,44;0,6;41,9;0,793;84338
220027;Alegrete do Piauí (PI);263,7;17,9;321,5727831;97,91;0,56;51,4;0,566;4713
430045;Alegria (RS);175,2;30,5;368,3166715;160,89;0,56;49,95;0,745;5367
150040;Alenquer (PA);24496,8;1,7;694,5179787;87,66;0,58;52,38;0,673;41784
240050;Alexandria (RN);420,4;32,6;317,655292;79,63;0,57;60,01;0,637;13772
520030;Alexânia (GO);850,8;23,6;103,6477277;168,61;0,57;41,17;0,696;20047
310150;Além Paraíba (MG);512,5;65,5;264,3092817;294,34;0,57;33,82;0,777;33610
310160;Alfenas (MG);849,2;78,6;273,7813461;357,09;0,58;32,32;0,829;66957
320030;Alfredo Chaves (ES);616,5;22,1;55,42936714;197,85;0,56;41,59;0,754;13616
350080;Alfredo Marcondes (SP);119,8;30,8;520,4969778;237,32;0,53;39,47;0,799;3697
310163;Alfredo Vasconcelos (MG);122,9;41,5;148,7390286;144,49;0,52;41,89;0,72;5101
420070;Alfredo Wagner (SC);733,4;12;78,11151406;258,12;0,55;36,55;0,778;8857
250057;Algodão de Jandaíra (PB);454,6;4,9;121,4407649;56,19;0,51;60,06;0,552;2209
250060;Alhandra (PB);225,4;70,6;36,43910322;81,51;0,54;52,42;0,605;15914
260070;Aliança (PE);266,4;139,6;63,21425563;74,77;0,54;53,27;0,578;37189
170035;Aliança do Tocantins (TO);1586;3,9;142,6625909;138,04;0,57;41,96;0,717;6177
290090;Almadina (BA);247,8;31,4;227,7822316;84,98;0,54;49,59;0,623;7862
170040;Almas (TO);4106,4;2,1;201,3707173;112,05;0,62;57,41;0,638;8474
150050;Almeirim (PA);73287,8;0,5;453,0553296;251,08;0,72;59,24;0,745;33957
310170;Almenara (MG);2308,6;15,3;530,8081803;162,67;0,68;47,96;0,668;35385
240060;Almino Afonso (RN);132,4;39;285,3611341;84,52;0,61;60,15;0,64;5195
410040;Almirante Tamandaré (PR);266,6;330,6;12,03309985;197,65;0,48;43,82;0,728;88277
520050;Aloândia (GO);102,5;20,8;119,0077719;226,05;0,56;33,6;0,743;2128
310180;Alpercata (MG);167,9;41,5;228,262939;148,05;0,54;41,92;0,702;6966
430050;Alpestre (RS);324,9;31,6;355,9167527;140,08;0,58;52,34;0,714;10266
310190;Alpinópolis (MG);461,5;36,9;278,8182473;239,83;0,49;30,37;0,779;17031
