Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
210360;Coroatá (MA);MA;2228,8;24,9;178,8973608;65,75;0,63;62,5;0,556;55676
210370;Cururupu (MA);MA;673,3;50;100,104474;86,4;0,59;54,2;0,623;33747
210375;Davinópolis (MA);MA;335,4;36,6;482,7150738;74,4;0,49;50,22;0,593;12275
210380;Dom Pedro (MA);MA;759,9;28,7;278,523964;126,85;0,58;43,2;0,634;21956
210390;Duque Bacelar (MA);MA;310;30,3;235,3109116;55,97;0,56;62,22;0,54;9413
210400;Esperantinópolis (MA);MA;774,1;27,2;264,9272684;69,82;0,6;59,74;0,593;21224
210405;Estreito (MA);MA;2727,7;8,4;567,6097155;127,09;0,62;51,5;0,681;22930
210407;Feira Nova do Maranhão (MA);MA;1668,8;4,5;558,5021774;60,39;0,62;64,88;0,569;7543
210408;Fernando Falcão (MA);MA;3981,1;1,2;407,7494209;51,55;0,59;63,36;0,498;4823
210409;Formosa da Serra Negra (MA);MA;3674,2;4;481,681777;51,21;0,56;55,98;0,569;13781
210410;Fortaleza dos Nogueiras (MA);MA;1657,4;6,8;534,6061806;70,75;0,64;66,22;0,637;11301
210420;Fortuna (MA);MA;692,5;20,9;356,279891;79,8;0,62;61,14;0,568;14596
210430;Godofredo Viana (MA);MA;462,4;15,1;206,3668794;65,12;0,61;63,09;0,596;6994
210440;Gonçalves Dias (MA);MA;1118;15;291,2458576;74,4;0,48;49,61;0,568;16790
210450;Governador Archer (MA);MA;426,8;21,3;276,9337669;69,85;0,52;54;0,567;9100
210455;Governador Edison Lobão (MA);MA;620,4;17,5;492,7279432;79,54;0,54;53,83;0,625;10891
210460;Governador Eugênio Barros (MA);MA;676,5;20,1;310,420232;61,5;0,54;58,66;0,556;14629
210462;Governador Luiz Rocha (MA);MA;376,7;16,7;327,5665179;56,96;0,5;58,89;0,558;6513
210465;Governador Newton Bello (MA);MA;1052,2;10,9;182,0068957;44,29;0,55;63,76;0,494;11804
210467;Governador Nunes Freire (MA);MA;1130,6;22,9;181,2925392;88,21;0,64;54,13;0,592;25921
210470;Graça Aranha (MA);MA;362,1;16,6;320,044046;72,8;0,49;50,97;0,571;6080
210480;Grajaú (MA);MA;7205,1;6,5;418,2840424;93,61;0,59;53,02;0,639;47155
210490;Guimarães (MA);MA;616,6;20,5;55,14348072;67,44;0,58;59,83;0,64;12641
210500;Humberto de Campos (MA);MA;2424,1;8,8;93,77429101;43,98;0,56;64,95;0,569;21266
210510;Icatu (MA);MA;1546,6;13,9;37,93809492;49,25;0,62;65,4;0,572;21489
210515;Igarapé do Meio (MA);MA;273,2;35,9;162,1902668;53,5;0,56;62,47;0,54;9842
210520;Igarapé Grande (MA);MA;383,7;25,4;236,3574281;70,19;0,51;53,35;0,602;9759
210530;Imperatriz (MA);MA;1538,1;149,8;484,2580806;193,11;0,61;42,4;0,722;230566
210535;Itaipava do Grajaú (MA);MA;3101,4;4,2;334,1380988;76,32;0,62;59,69;0,531;13341
210540;Itapecuru Mirim (MA);MA;1186,2;35,7;96,0977022;75,4;0,55;54,57;0,609;42772
210542;Itinga do Maranhão (MA);MA;872,8;26,5;416,287109;178,21;0,71;48,68;0,664;23128
210545;Jatobá (MA);MA;406,4;13,8;365,3590001;91,03;0,59;56,85;0,617;5055
210547;Jenipapo dos Vieiras (MA);MA;1161;8,6;348,5586282;54,41;0,57;64,16;0,516;10119
210550;João Lisboa (MA);MA;1054,5;23,3;472,2766869;94,19;0,53;47,29;0,63;24598
210560;Joselândia (MA);MA;687,1;21,3;274,353466;53,78;0,58;64,07;0,534;14609
210565;Junco do Maranhão (MA);MA;631,8;8,8;212,7713695;61,43;0,56;59,18;0,56;5533
210570;Lago da Pedra (MA);MA;1560,7;26;221,177519;97,2;0,61;50,12;0,607;40405
210580;Lago do Junco (MA);MA;600;16,4;223,7951363;56,54;0,55;60,05;0,566;9833
210590;Lago Verde (MA);MA;416;31,3;168,6980821;47,23;0,58;64,75;0,533;13038
210592;Lagoa do Mato (MA);MA;1194,9;7,9;400,177823;48,46;0,66;71,89;0,55;9446
210594;Lagoa dos Rodrigues (MA);MA;117,8;72,7;228,4555409;63,41;0,51;55,29;0,575;8443
210596;Lagoa Grande do Maranhão (MA);MA;858,7;9,8;278,074379;44,56;0,56;66,24;0,492;8469
210598;Lajeado Novo (MA);MA;1195,8;4,8;506,8631757;80,66;0,56;55,14;0,646;5717
210600;Lima Campos (MA);MA;345,4;31,2;221,8755498;78,78;0,54;53,26;0,581;10749
210610;Loreto (MA);MA;3610,5;2,7;514,4730426;58,7;0,66;69,35;0,603;10024
210620;Luís Domingues (MA);MA;430,7;12,8;223,7554334;75,2;0,6;59,62;0,632;5724
210630;Magalhães de Almeida (MA);MA;574,6;22,7;252,0220025;48,47;0,65;70,09;0,547;13021
210632;Maracaçumé (MA);MA;448,3;33,1;191,6658339;99,24;0,66;58,16;0,613;14866
210635;Marajá do Sena (MA);MA;832,7;8,6;269,8497255;62,11;0,63;65,82;0,519;7161
210637;Maranhãozinho (MA);MA;952,7;7,5;172,6010541;44,92;0,63;67,84;0,529;8445
210640;Mata Roma (MA);MA;573,7;20,6;179,7174941;54,85;0,63;67,77;0,567;11799
210650;Matinha (MA);MA;429;45,1;102,9950083;59;0,53;59,74;0,64;19231
210660;Matões (MA);MA;1812,9;14,5;353,9595729;59,42;0,51;56,67;0,567;26433
210663;Matões do Norte (MA);MA;746,9;10;125,6307852;43,12;0,53;65,09;0,495;7435
210667;Milagres do Maranhão (MA);MA;641,6;8,1;221,2935247;51,08;0,57;64,38;0,563;5149
210670;Mirador (MA);MA;8524,9;2,3;426,8636575;66,08;0,57;61,38;0,564;19906
210675;Miranda do Norte (MA);MA;358;45;119,5899209;96,61;0,54;49,36;0,625;16123
210680;Mirinzal (MA);MA;603;21,3;74,31036591;80,71;0,63;58,31;0,65;13005
210690;Monção (MA);MA;1415;18,4;149,9768922;66,96;0,6;60,83;0,564;26043
210700;Montes Altos (MA);MA;1436,1;7,2;477,8619213;75,49;0,59;55,74;0,611;10347
210710;Morros (MA);MA;1260,9;11,1;47,28772775;44,62;0,63;71,33;0,561;14594
210720;Nina Rodrigues (MA);MA;559,3;14,8;112,9967012;47,43;0,56;64,78;0,55;8289
210725;Nova Colinas (MA);MA;804;4,8;553,6012597;53,66;0,71;74,2;0,594;3904
210730;Nova Iorque (MA);MA;968;4,6;468,028009;74,07;0,63;63,63;0,574;4543
210735;Nova Olinda do Maranhão (MA);MA;880,1;17,5;158,4730406;71,03;0,71;70,23;0,568;15660
210740;Olho d'Água das Cunhãs (MA);MA;577,4;24,8;181,5562388;82,01;0,58;55,36;0,571;14377
210745;Olinda Nova do Maranhão (MA);MA;200,2;50,6;92,93893122;54,96;0,55;64,86;0,596;10128
210750;Paço do Lumiar (MA);MA;121,4;627,4;21,64840269;145,69;0,53;46,44;0,727;76188
210760;Palmeirândia (MA);MA;401,2;42,7;66,94688164;53,35;0,58;61,51;0,569;17264
210770;Paraibano (MA);MA;535;33,3;435,1381573;91,33;0,62;55,82;0,592;17854
210780;Parnarama (MA);MA;3604,7;9;375,0415147;49,61;0,59;66,65;0,558;32469
210790;Passagem Franca (MA);MA;1360,7;10,8;409,642876;61,21;0,61;65,55;0,545;14817
210800;Pastos Bons (MA);MA;1636,6;9,4;453,1722992;68,06;0,67;70,76;0,613;15460
210805;Paulino Neves (MA);MA;1198,3;9,6;197,5952561;38,24;0,57;68,85;0,508;11526
210810;Paulo Ramos (MA);MA;1676,1;10;209,5548663;57,04;0,57;61,02;0,537;19290
210820;Pedreiras (MA);MA;534,5;73,8;227,9647992;110,86;0,56;49,86;0,639;39828
210825;Pedro do Rosário (MA);MA;1607,1;11,1;126,1022622;44,48;0,57;65,77;0,536;17954
210830;Penalva (MA);MA;843,2;35,9;128,6483478;59,76;0,53;56,35;0,584;30299
210840;Peri Mirim (MA);MA;377,1;34,7;61,39841293;58,09;0,55;58,58;0,593;13071
210845;Peritoró (MA);MA;680,2;25,5;205,9322432;61,69;0,64;64,18;0,537;17336
210850;Pindaré Mirim (MA);MA;275;99,8;166,3296614;85,17;0,6;57,59;0,62;27517
210860;Pinheiro (MA);MA;1559;43,5;86,59518847;84,41;0,58;55,22;0,639;68030
210870;Pio XII (MA);MA;180,3;154,9;184,9503793;55,38;0,54;58,85;0,542;28413
210880;Pirapemas (MA);MA;730,2;21,4;133,306478;51,62;0,54;62,37;0,572;15124
210890;Poção de Pedras (MA);MA;526;42,4;247,1398599;55,66;0,53;57,51;0,582;22378
210900;Porto Franco (MA);MA;1422,5;11,8;544,6603777;145,47;0,61;49,42;0,678;16840
210905;Porto Rico do Maranhão (MA);MA;220,9;32,4;78,3247234;65,34;0,51;54,91;0,614;6380
210910;Presidente Dutra (MA);MA;808,6;48,7;307,3909324;117,03;0,58;49,05;0,624;39541
210920;Presidente Juscelino (MA);MA;459,1;22,2;51,5145614;38,91;0,59;70,11;0,506;10693
210923;Presidente Médici (MA);MA;297,3;15,9;169,1618004;64;0,5;55,08;0,575;5116
210927;Presidente Sarney (MA);MA;727,6;19;117,9754883;52,96;0,5;59,86;0,555;13718
210930;Presidente Vargas (MA);MA;476,8;21,7;102,2521211;45,26;0,58;67,25;0,543;10483
210940;Primeira Cruz (MA);MA;1717,4;6,2;96,0515585;57,34;0,5;58,84;0,557;11019
210945;Raposa (MA);MA;63,9;262,8;25,18634884;75,75;0,48;49,14;0,632;17088
210950;Riachão (MA);MA;6154,8;3,4;594,8791407;74,33;0,63;61,49;0,591;20983
210955;Ribamar Fiquene (MA);MA;738,4;8,8;509,1926202;85,8;0,57;59,8;0,624;6488
210960;Rosário (MA);MA;677,4;49,7;45,52252588;69,7;0,61;62,94;0,63;33665
210970;Sambaíba (MA);MA;3005,6;1,7;525,1125498;63,08;0,71;71,47;0,609;5261
210975;Santa Filomena do Maranhão (MA);MA;343,7;14,1;331,3736185;59,33;0,56;61,33;0,533;4667
210980;Santa Helena (MA);MA;2538,9;12,2;115,5697587;85,38;0,63;57,04;0,6;30860
210990;Santa Inês (MA);MA;334,9;203,5;173,9044209;125,24;0,59;46,53;0,671;68321
211000;Santa Luzia (MA);MA;6322,5;11,5;230,04257;65,91;0,57;57,63;0,556;69271
211003;Santa Luzia do Paruá (MA);MA;2368,3;9,1;163,5512508;60,15;0,52;56,18;0,616;20058
211010;Santa Quitéria do Maranhão (MA);MA;1855,4;15,1;223,5440277;64,01;0,61;60,4;0,561;28150
211020;Santa Rita (MA);MA;769,8;32,4;68,27541405;67,03;0,66;65,3;0,592;24922
211023;Santana do Maranhão (MA);MA;1402,5;7,8;219,7416225;38,41;0,57;67,28;0,488;10944
211027;Santo Amaro do Maranhão (MA);MA;1253,9;7,7;116,5003009;35,13;0,58;70,08;0,512;9612
211030;Santo Antônio dos Lopes (MA);MA;472,9;30;259,9865124;70,49;0,52;54,19;0,576;14253
211172;Satubinha (MA);MA;364,3;29,6;174,7295856;47,11;0,59;65,62;0,525;10815
211040;São Benedito do Rio Preto (MA);MA;1130;14,7;124,010099;39,95;0,68;73,02;0,543;16442
211050;São Bento (MA);MA;585,3;54,4;60,38655033;66,89;0,54;56,82;0,592;31819
211060;São Bernardo (MA);MA;1228,3;18,2;228,6573177;47,6;0,63;67,93;0,538;22720
211065;São Domingos do Azeitão (MA);MA;879,6;7,1;477,0987838;66,65;0,56;59,12;0,609;6289
211070;São Domingos do Maranhão (MA);MA;1323,6;25,4;338,593504;90,63;0,54;49,96;0,595;33049
211080;São Félix de Balsas (MA);MA;2205,8;2,3;509,0696215;66,42;0,55;60,24;0,595;5144
211085;São Francisco do Brejão (MA);MA;734,7;9,6;447,0361864;91,6;0,58;53,41;0,629;7062
211090;São Francisco do Maranhão (MA);MA;2772,1;4,6;443,4597759;50,57;0,61;68,36;0,555;12854
211100;São João Batista (MA);MA;800,2;23,6;73,20930094;72,92;0,56;69,63;0,592;18917
211102;São João do Carú (MA);MA;717,3;18,8;244,7653598;52,23;0,58;65,11;0,511;13495
211105;São João do Paraíso (MA);MA;2064,9;5;532,8332397;82,29;0,61;62,47;0,654;10365
211107;São João do Soter (MA);MA;1487,4;9,9;292,2896121;50,21;0,51;59,57;0,523;14834
211110;São João dos Patos (MA);MA;1574;14,7;445,5904268;99,43;0,61;61,66;0,64;23182
211120;São José de Ribamar (MA);MA;436,1;246,1;27,8693421;129,59;0,62;51,47;0,7;107384
211125;São José dos Basílios (MA);MA;346,3;22,1;281,8605196;61,35;0,5;53,75;0,556;7432
211130;São Luís (MA);MA;831,7;1043,3;0;252,13;0,65;44,31;0,778;870028
211140;São Luís Gonzaga do Maranhão (MA);MA;1077,5;21;209,5632477;49,88;0,57;63,74;0,542;22772
211150;São Mateus do Maranhão (MA);MA;737,9;47,2;168,81084;77,17;0,6;59,65;0,584;34859
211153;São Pedro da Água Branca (MA);MA;722,9;15,1;538,3755927;89,21;0,56;49,06;0,588;10927
211157;São Pedro dos Crentes (MA);MA;986,9;4,1;537,3964374;61,54;0,58;61,51;0,626;4024
211160;São Raimundo das Mangabeiras (MA);MA;3540,3;4,2;515,9057251;102,46;0,74;67,29;0,638;14870
211163;São Raimundo do Doca Bezerra (MA);MA;360;18,5;298,7236232;47,94;0,53;61,97;0,549;6671
211167;São Roberto (MA);MA;249,5;17,6;287,1177688;40,39;0,56;67,45;0,502;4400
211170;São Vicente Ferrer (MA);MA;394,6;46,7;75,74753947;56,58;0,58;62,77;0,571;18406
211174;Senador Alexandre Costa (MA);MA;411,9;22,2;304,1480897;65,03;0,54;55,71;0,534;8571
211176;Senador La Rocque (MA);MA;1267,1;12,8;463,0999767;65,37;0,53;56,21;0,588;16242
211178;Serrano do Maranhão (MA);MA;1587,3;5,7;117,8963633;46,93;0,5;60,51;0,561;9120
211180;Sítio Novo (MA);MA;2928,7;5,2;457,0452589;75,8;0,59;60,61;0,631;15114
211190;Sucupira do Norte (MA);MA;1051,4;10,2;438,7629042;57,37;0,59;64,39;0,594;10378
211195;Sucupira do Riachão (MA);MA;568,6;7,5;439,3318119;68,06;0,57;59,91;0,605;4287
211200;Tasso Fragoso (MA);MA;4442,9;1,4;679,5209492;69,61;0,57;59,27;0,599;6393
211210;Timbiras (MA);MA;1233,3;21,4;195,8425028;51,45;0,61;66,13;0,524;26401
211220;Timon (MA);MA;1720,5;74,7;328,0090451;104,17;0,53;46,82;0,655;129692
211223;Trizidela do Vale (MA);MA;173,2;98,8;226,021379;82,94;0,46;45,47;0,608;16402
211227;Tufilândia (MA);MA;134,6;41;192,3974709;46,09;0,6;65,79;0,521;5527
211230;Tuntum (MA);MA;3871,4;9;305,5522199;64,22;0,56;60,28;0,556;35411
211240;Turiaçu (MA);MA;2336,8;13,3;152,8818482;53,55;0,57;63,96;0,567;31289
211245;Turilândia (MA);MA;1535,5;10,9;121,1154688;50,26;0,58;65,76;0,527;17231
211250;Tutóia (MA);MA;1429,8;26,4;226,6925509;59,09;0,6;63,77;0,538;37728
211260;Urbano Santos (MA);MA;1330,4;13,2;125,0211474;47,4;0,73;73,21;0,556;17603
211270;Vargem Grande (MA);MA;2123,3;16,3;120,4775429;51,62;0,51;59,48;0,544;34707
211280;Viana (MA);MA;1129,8;38,3;109,2292518;74,61;0,58;56,39;0,619;44190
211285;Vila Nova dos Martírios (MA);MA;1195,2;5,6;491,8527739;76,81;0,56;54;0,594;6705
211300;Vitorino Freire (MA);MA;718,1;39,7;197,6404585;83,36;0,58;54,74;0,594;27462
211290;Vitória do Mearim (MA);MA;1059,3;28,2;121,2359181;82,22;0,58;57,1;0,615;29953
211400;Zé Doca (MA);MA;2044,4;24,1;186,4669428;77,08;0,57;52,25;0,59;46134
