Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
320465;São Domingos do Norte (ES);ES;298,9;25,3;133,9488875;165,51;0,54;47,51;0,71;7547
320470;São Gabriel da Palha (ES);ES;434,6;61,2;146,1540598;242,48;0,56;38,28;0,742;26588
320480;São José do Calçado (ES);ES;279,4;37,5;157,7132969;205,97;0,55;33,05;0,745;10481
320490;São Mateus (ES);ES;2327,4;38,8;185,0547226;229,86;0,62;41,21;0,73;90460
320495;São Roque do Canaã (ES);ES;342,5;30,3;72,54553235;201,21;0,49;38,88;0,751;10395
320500;Serra (ES);ES;552,7;583,5;21,34327019;233,94;0,53;44,23;0,761;321181
320501;Sooretama (ES);ES;587,7;31,1;127,1777697;161,19;0,55;38,6;0,702;18269
320503;Vargem Alta (ES);ES;407,9;42,6;79,86715571;195,17;0,52;32,94;0,727;17376
320506;Venda Nova do Imigrante (ES);ES;188,9;85,5;83,07878634;297,77;0,58;36,57;0,778;16165
320510;Viana (ES);ES;294,9;181;18,25372149;175,43;0,48;40,57;0,737;53452
320515;Vila Pavão (ES);ES;436,3;19,1;191,4962501;143,44;0,48;39,53;0,688;8330
320517;Vila Valério (ES);ES;472,7;29,3;146,8864969;190,74;0,57;43;0,699;13875
320520;Vila Velha (ES);ES;218,8;1576,5;4,946674888;443,8;0,57;42,17;0,817;345965
320530;Vitória (ES);ES;89;3279,7;0;667,68;0,61;43,31;0,856;292304
