Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
150400;Limoeiro do Ajuru (PA);PA;1404,5;13,9;108,9423043;64,41;0,5;53,31;0,642;19564
150410;Magalhães Barata (PA);PA;328;23,1;124,6046776;68,95;0,65;62,3;0,671;7693
150420;Marabá (PA);PA;15157,9;11,1;440,1121027;188,59;0,63;48,53;0,714;168020
150430;Maracanã (PA);PA;777,3;35,5;140,0273486;65,65;0,59;62,79;0,656;27571
150440;Marapanim (PA);PA;799,2;30,8;122,0510217;80,14;0,56;53,74;0,7;24718
150442;Marituba (PA);PA;109,1;691,5;21,20884771;126,77;0,53;47,47;0,713;74429
150405;Mãe do Rio (PA);PA;471,1;53,8;125,1448722;121,05;0,6;51,93;0,697;25351
150445;Medicilândia (PA);PA;8309,4;2,6;534,6616162;200,84;0,66;58,48;0,71;21379
150450;Melgaço (PA);PA;6804,6;3,1;248,2831579;51,5;0,46;56,94;0,525;21064
150460;Mocajuba (PA);PA;860,4;23,9;167,6811655;85,29;0,57;53,08;0,702;20542
150470;Moju (PA);PA;9724,3;5,4;55,93090619;90,78;0,57;53,35;0,643;52941
150480;Monte Alegre (PA);PA;20066,3;3;621,1337223;87,87;0,59;57,27;0,69;61334
150490;Muaná (PA);PA;3782,4;6,7;79,60476436;84,7;0,58;51,65;0,653;25467
150495;Nova Esperança do Piriá (PA);PA;2889,7;6,5;193,2298017;85,75;0,64;61,7;0,598;18893
150497;Nova Ipixuna (PA);PA;1609,8;7,4;390,2422637;127,26;0,6;48,26;0,664;11866
150500;Nova Timboteua (PA);PA;492,1;23,2;127,2674584;98,63;0,5;47,75;0,646;11406
150503;Novo Progresso (PA);PA;38322;0,7;990,0820912;229,46;0,54;53,31;0,76;24948
150506;Novo Repartimento (PA);PA;15464,1;2,7;350,1652532;91,61;0,66;61,33;0,626;41817
150520;Oeiras do Pará (PA);PA;3931,8;5,9;161,7944964;71,78;0,53;50,84;0,652;23255
150530;Oriximiná (PA);PA;108086;0,4;818,4658627;134,23;0,62;52,91;0,717;48332
150540;Ourém (PA);PA;602,5;23,9;154,1875825;89,86;0,6;54,78;0,669;14397
150543;Ourilândia do Norte (PA);PA;13884,8;1,4;654,5419179;154,11;0,64;56,69;0,699;19471
150510;Óbidos (PA);PA;26825,5;1,7;780,7449845;82,5;0,54;53,71;0,681;46490
150548;Pacajá (PA);PA;11884,5;2,4;355,1932572;122,68;0,76;62,97;0,661;28888
150549;Palestina do Pará (PA);PA;988,2;7,6;476,711415;106,64;0,62;53,18;0,652;7544
150550;Paragominas (PA);PA;19395,6;3,9;213,4905354;166,04;0,61;43,97;0,69;76450
150553;Parauapebas (PA);PA;7077,2;10,1;535,4032068;221,48;0,67;50,06;0,741;71568
150555;Pau d'Arco (PA);PA;1678,6;4,2;728,8294427;101,09;0,59;51,68;0,664;7124
150560;Peixe-Boi (PA);PA;452,3;17,2;135,4131782;90,08;0,58;53,6;0,64;7760
150563;Piçarra (PA);PA;3326,7;3,8;555,0999595;119,34;0,55;45,18;0,662;12671
150565;Placas (PA);PA;7194,1;1,9;688,7200965;139,42;0,6;48,37;0,69;13394
150570;Ponta de Pedras (PA);PA;3380,3;5,5;41,42286549;83,04;0,58;56,72;0,652;18694
150580;Portel (PA);PA;25498,1;1,5;262,8206325;92,26;0,69;58,81;0,608;38043
150590;Porto de Moz (PA);PA;17500,8;1,3;416,0266423;112;0,62;50,33;0,65;23545
150600;Prainha (PA);PA;13895,7;2;554,0292072;62,84;0,58;61;0,621;27301
150610;Primavera (PA);PA;287,1;33,4;164,3996207;81,29;0,62;59,68;0,655;9718
150611;Quatipuru (PA);PA;321,7;33,8;177,4813616;71,67;0,55;55,3;0,622;10905
150613;Redenção (PA);PA;3839,9;16,5;749,6897175;200,72;0,61;42,86;0,744;63251
150616;Rio Maria (PA);PA;4132,3;4,1;672,7022939;195,49;0,63;38,03;0,718;17498
150618;Rondon do Pará (PA);PA;8277,3;4,8;372,0902766;156,81;0,6;46,5;0,685;39870
150619;Rurópolis (PA);PA;6991,3;3,5;769,0819318;117,51;0,58;49,35;0,651;24660
150620;Salinópolis (PA);PA;218,8;152,3;157,2013753;159,1;0,64;45,54;0,74;33449
150630;Salvaterra (PA);PA;1048,2;14,4;78,13071026;101,38;0,56;52,4;0,715;15118
150635;Santa Bárbara do Pará (PA);PA;279,4;40,7;34,7682783;103,01;0,52;48,03;0,686;11378
150640;Santa Cruz do Arari (PA);PA;1079,5;4,9;115,4220116;74,39;0,58;58,31;0,63;5255
150650;Santa Isabel do Pará (PA);PA;720,9;59,6;41,90711278;123,11;0,57;47,17;0,721;43227
150655;Santa Luzia do Pará (PA);PA;1278,3;15,2;173,6433652;64,93;0,59;59,28;0,594;19400
150658;Santa Maria das Barreiras (PA);PA;10373,4;1,1;833,1380862;112,9;0,62;57,32;0,653;10955
150660;Santa Maria do Pará (PA);PA;459,8;45,3;103,7341204;123,2;0,57;49,33;0,651;20850
150670;Santana do Araguaia (PA);PA;11639,2;2,7;924,6123285;121,08;0,62;59,86;0,69;31218
150680;Santarém (PA);PA;24422,5;10,8;697,6552588;139,9;0,62;51,81;0,746;262538
150690;Santarém Novo (PA);PA;230,5;23,6;136,213295;84,06;0,6;54,5;0,642;5434
150700;Santo Antônio do Tauá (PA);PA;539,9;36,7;53,63400409;86,8;0,53;48,39;0,694;19835
150775;Sapucaia (PA);PA;1303,8;2,9;623,9587621;187,95;0,56;37,84;0,73;3796
150710;São Caetano de Odivelas (PA);PA;727,3;21,5;95,11003697;95,26;0,47;44,73;0,7;15595
150715;São Domingos do Araguaia (PA);PA;1398,5;14,2;454,3020972;113,55;0,58;47,34;0,671;20005
150720;São Domingos do Capim (PA);PA;1691,9;16,2;84,55382833;70,34;0,57;56,42;0,625;27405
150730;São Félix do Xingu (PA);PA;84607,3;0,4;694,3316306;247,96;0,75;50,71;0,709;34621
150740;São Francisco do Pará (PA);PA;476,1;29,8;84,97485304;123,8;0,57;48,97;0,69;14245
150745;São Geraldo do Araguaia (PA);PA;3283,7;8,4;549,5174675;136,06;0,63;48,18;0,691;27646
150746;São João da Ponta (PA);PA;196,9;20,5;93,50935978;86,66;0,67;63,54;0,672;4035
150747;São João de Pirabas (PA);PA;709,4;24,6;166,3159047;75,13;0,64;61,66;0,652;17484
150750;São João do Araguaia (PA);PA;1301,7;9,3;434,7569117;67,72;0,62;62,71;0,582;12247
150760;São Miguel do Guamá (PA);PA;1094,8;37,8;114,9931927;122,97;0,6;48,04;0,67;41366
150770;São Sebastião da Boa Vista (PA);PA;1576,4;11,2;118,8093818;70,7;0,5;53,65;0,666;17664
150780;Senador José Porfírio (PA);PA;13345,6;1,2;403,3440307;97,07;0,6;54,65;0,638;15721
150790;Soure (PA);PA;3528,7;5,7;82,14480633;114,29;0,6;51,58;0,723;19958
150795;Tailândia (PA);PA;4475,5;8,5;173,0182683;155,26;0,62;50,12;0,697;38435
150796;Terra Alta (PA);PA;207,4;39,6;80,87904053;95,87;0,63;54,54;0,711;8261
150797;Terra Santa (PA);PA;1909;7,6;889,5565493;78,01;0,56;56,34;0,688;14592
150800;Tomé-Açu (PA);PA;5179,2;9,1;113,9252859;141,7;0,62;51,71;0,676;47273
150803;Tracuateua (PA);PA;771,9;29,5;183,5545871;59,1;0,55;59,39;0,614;22743
150805;Trairão (PA);PA;12043,6;1,2;895,2468382;103,14;0,53;53,72;0,651;14042
150808;Tucumã (PA);PA;2523,3;10,5;657,6174377;250,17;0,69;51,99;0,747;25309
150810;Tucuruí (PA);PA;2095,5;35,2;287,8175444;180,99;0,59;46,4;0,755;73798
150812;Ulianópolis (PA);PA;5103,6;3,7;278,7715693;228,54;0,75;43,07;0,688;19254
150815;Uruará (PA);PA;10839;4,2;632,9113949;208,07;0,6;46,72;0,713;45201
150820;Vigia (PA);PA;559,6;73,7;77,67227432;124,29;0,6;47,42;0,731;40176
150830;Viseu (PA);PA;4980,9;10,2;264,1893393;57,11;0,6;62,76;0,605;51090
150835;Vitória do Xingu (PA);PA;2971,6;3,8;420,2272945;126,17;0,66;57,03;0,664;11142
150840;Xinguara (PA);PA;3795,9;9,2;646,6423086;225,25;0,6;38,74;0,739;35220
